group,size_group,gs_cat,gs_subcat,size_cat.subcat,group_in_cat.subcat,pathway,size_pathway,group_in_pathway,k/K,pval,FDR,qvalue,genes
int,1553,H,,4394,565,HALLMARK_ANDROGEN_RESPONSE,112,18,0.16071428571428573,0.18561583713252564,0.6187194571084188,0.5340525840304247,"c(""Scd2"", ""Ccnd3"", ""Srf"", ""Ptk2b"", ""Sgk1"", ""B2m"", ""Tmem50a"", ""Ank"", ""Inpp4b"", ""Sat1"", ""Tsc22d1"", ""Cdk6"", ""Pa2g4"", ""Stk39"", ""Hmgcr"", ""Rrp12"", ""Xrcc6"", ""Akt1"")"
int,1553,H,,4394,565,HALLMARK_HEME_METABOLISM,194,29,0.14948453608247422,0.21484947373784144,0.6714046054307545,0.5795281857402302,"c(""Ccnd3"", ""Mfhas1"", ""Cast"", ""Ccdc28a"", ""Narf"", ""Aldh6a1"", ""Ypel5"", ""Add1"", ""Acp5"", ""Sidt2"", ""Rbm5"", ""Tmem9b"", ""Sdcbp"", ""Mkrn1"", ""Kat2b"", ""Riok3"", ""Nfe2"", ""Agpat4"", ""Urod"", ""Nfe2l1"", ""Cdr2"", ""Clcn3"", ""Slc2a1"", ""Hdgf"", ""Map2k3"", ""Cpox"", ""Tfrc"", ""Tns1"", ""Nnt"")"
int,1553,H,,4394,565,HALLMARK_PI3K_AKT_MTOR_SIGNALING,105,16,0.1523809523809524,0.2701596175251078,0.7945871103679643,0.6858541373702427,"c(""Camk4"", ""Myd88"", ""Grk2"", ""Tnfrsf1a"", ""Arhgdia"", ""Ptpn11"", ""Slc2a1"", ""Hsp90b1"", ""Map2k3"", ""Vav3"", ""Eif4e"", ""Pin1"", ""Arf1"", ""Ppp2r1b"", ""Acaca"", ""Akt1"")"
int,1553,H,,4394,565,HALLMARK_INTERFERON_ALPHA_RESPONSE,100,15,0.15,0.3005724625622605,0.8349235071173903,0.7206708166697474,"c(""Psmb8"", ""Il4ra"", ""Mov10"", ""Ogfr"", ""Trim25"", ""Casp8"", ""Trim12c"", ""Ly6e"", ""Lpar6"", ""Irf2"", ""Trim5"", ""B2m"", ""Psme2"", ""Lap3"", ""Plscr1"")"
int,1553,H,,4394,565,HALLMARK_INFLAMMATORY_RESPONSE,201,27,0.13432835820895522,0.4344933043629015,0.9999972065981355,0.8631554835899696,"c(""Slc4a4"", ""Il4ra"", ""Osm"", ""Icam1"", ""Gpr183"", ""Abi1"", ""Ly6e"", ""Pde4b"", ""Cd55"", ""Ifnar1"", ""Rasgrp1"", ""P2rx4"", ""Lif"", ""Lta"", ""Hbegf"", ""Hif1a"", ""Il2rb"", ""Ptger4"", ""Tnfrsf9"", ""Myc"", ""Ldlr"", ""Slc7a1"", ""Slc31a1"", ""Atp2a2"", ""Slc1a2"", ""Serpine1"", ""Olr1"")"
int,1553,H,,4394,565,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,49,7,0.14285714285714285,0.44520545532288225,0.9999972065981355,0.8631554835899696,"c(""Junb"", ""Fes"", ""Hhex"", ""Sod2"", ""Pfkp"", ""Oxsr1"", ""Scaf4"")"
int,1553,H,,4394,565,HALLMARK_APOPTOSIS,161,21,0.13043478260869565,0.508286810850953,0.9999972065981355,0.8631554835899696,"c(""Tgfbr3"", ""Dffa"", ""Igf2r"", ""Casp8"", ""Timp2"", ""Add1"", ""Gadd45a"", ""Rhob"", ""Cdc25b"", ""Lef1"", ""Dap"", ""Ank"", ""Sat1"", ""Sod2"", ""Ccnd2"", ""Atf3"", ""Etf1"", ""Bcl2l1"", ""Wee1"", ""Cth"", ""Prf1"")"
int,1553,H,,4394,565,HALLMARK_ADIPOGENESIS,200,26,0.13,0.5089497614524057,0.9999972065981355,0.8631554835899696,"c(""Itih5"", ""Pim3"", ""Agpat3"", ""Fah"", ""Sult1a1"", ""Tob1"", ""Map4k3"", ""Gadd45a"", ""Riok3"", ""Decr1"", ""Reep6"", ""Rmdn3"", ""Uqcrc1"", ""Ywhag"", ""Jagn1"", ""Idh3a"", ""Pfkl"", ""Scarb1"", ""Nabp1"", ""Ak2"", ""Cyc1"", ""Chchd10"", ""Atp5o"", ""Ptcd3"", ""Aco2"", ""Acly"")"
int,1553,H,,4394,565,HALLMARK_HYPOXIA,200,26,0.13,0.5089497614524057,0.9999972065981355,0.8631554835899696,"c(""Plac8"", ""Bcl2"", ""Tgm2"", ""Dusp1"", ""Ankzf1"", ""Pnrc1"", ""Slc37a4"", ""Pim1"", ""Eno1"", ""Prkca"", ""Pfkp"", ""Slc2a1"", ""Atf3"", ""Tpi1"", ""Galk1"", ""Ldha"", ""Bhlhe40"", ""Hk2"", ""Pfkl"", ""Scarb1"", ""Hdlbp"", ""Slc6a6"", ""Ero1a"", ""Serpine1"", ""Sap30"", ""Car12"")"
int,1553,H,,4394,565,HALLMARK_PROTEIN_SECRETION,96,12,0.125,0.5891031940993814,0.9999972065981355,0.8631554835899696,"c(""Arfgef2"", ""Arfip1"", ""Igf2r"", ""Stx16"", ""Ctsc"", ""Ap3b1"", ""Dst"", ""Tmx1"", ""Clcn3"", ""Arf1"", ""Copb2"", ""Arcn1"")"
