group,size_group,gs_cat,gs_subcat,size_cat.subcat,group_in_cat.subcat,pathway,pathway_GOID,size_pathway,group_in_pathway,k/K,pval,FDR,qvalue,genes
int,1553,C5,GO:BP,15653,1379,GOBP_POSITIVE_REGULATION_OF_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_TELOMERE,GO:1904851,10,4,0.4,0.008165807271850062,0.13900431015035675,0.12756631934253806,"c(""Cct7"", ""Dkc1"", ""Cct6a"", ""Tcp1"")"
int,1553,C5,GO:BP,15653,1379,GOBP_NUCLEAR_MEMBRANE_ORGANIZATION,GO:0071763,41,9,0.21951219512195122,0.008223284522992261,0.1394544930050084,0.1279794588325072,"c(""Chmp4c"", ""Chmp2b"", ""Lpin1"", ""Akap8l"", ""Prkca"", ""Nek6"", ""Rcc1"", ""Plk1"", ""Ubxn2a"")"
int,1553,C5,GO:BP,15653,1379,GOBP_REGULATION_OF_LEUKOCYTE_MIGRATION,GO:0002685,207,29,0.14009661835748793,0.008393923937650705,0.14181313599925666,0.1301440205291471,"c(""Trpv4"", ""Thy1"", ""Icam1"", ""Myd88"", ""Mdk"", ""Dusp1"", ""Ptk2b"", ""Il6ra"", ""Ripor2"", ""Rac2"", ""Rhoh"", ""P2rx4"", ""Tnfrsf14"", ""Dpp4"", ""Rin3"", ""Hmgb1"", ""Ptger4"", ""C1qbp"", ""Tnfsf14"", ""Ccl4"", ""Stk39"", ""Tnfrsf18"", ""Ccl3"", ""Cd200"", ""Oxsr1"", ""St3gal4"", ""Serpine1"", ""Cxcr3"", ""Akt1"")"
int,1553,C5,GO:BP,15653,1379,GOBP_NEGATIVE_REGULATION_OF_GENE_EXPRESSION_EPIGENETIC,GO:0045814,79,14,0.17721518987341772,0.008601247003656562,0.14477155069075875,0.1328590016176874,"c(""Axin1"", ""L3mbtl3"", ""Atf7ip"", ""Hdac5"", ""Mbd3"", ""Cbx3"", ""Smyd5"", ""Ezh2"", ""Dnmt3a"", ""Bend3"", ""Rrp8"", ""Trim27"", ""Samd1"", ""Rif1"")"
int,1553,C5,GO:BP,15653,1379,GOBP_GENE_SILENCING_BY_RNA,GO:0031047,112,18,0.16071428571428573,0.008935051303941169,0.14910480389336106,0.1368356924212842,"c(""Mov10"", ""Tsnax"", ""Tial1"", ""Bcdin3d"", ""Tnrc6a"", ""Smad1"", ""Ppp3ca"", ""Celf1"", ""Ago2"", ""Ddx3x"", ""Snd1"", ""Ran"", ""Eif4enif1"", ""Cnot9"", ""Eif6"", ""Pus10"", ""Dgcr8"", ""Eif4g1"")"
int,1553,C5,GO:BP,15653,1379,GOBP_T_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE,GO:0002286,112,18,0.16071428571428573,0.008935051303941169,0.14910480389336106,0.1368356924212842,"c(""Itgal"", ""Il4ra"", ""Icam1"", ""Sema4a"", ""Mdk"", ""Gpr183"", ""Il6ra"", ""Slamf6"", ""Lef1"", ""Gata3"", ""Eomes"", ""Rab27a"", ""Myb"", ""Ifng"", ""Hmgb1"", ""Ptger4"", ""Il12rb1"", ""Irf4"")"
int,1553,C5,GO:BP,15653,1379,GOBP_PROTEIN_ACETYLATION,GO:0006473,208,29,0.13942307692307693,0.008958232543659876,0.14910480389336106,0.1368356924212842,"c(""Jade2"", ""Glyr1"", ""Wbp2"", ""Foxo1"", ""Pbxip1"", ""Lef1"", ""Msl1"", ""Hdac5"", ""Gata3"", ""Kat2b"", ""Lif"", ""Kansl2"", ""Atf2"", ""Zfp451"", ""Ddx3x"", ""Mbd3"", ""Fam161a"", ""Naa50"", ""Irf4"", ""Ruvbl2"", ""Morf4l2"", ""Brca2"", ""Bend3"", ""Mllt1"", ""Wdr5"", ""Ruvbl1"", ""Nat10"", ""Naa25"", ""Hcfc1"")"
int,1553,C5,GO:BP,15653,1379,GOBP_CELLULAR_METABOLIC_COMPOUND_SALVAGE,GO:0043094,28,7,0.25,0.009215945096542071,0.15226638699948555,0.13973712418054118,"c(""Ampd1"", ""Dguok"", ""Tk2"", ""Pdxk"", ""Uck2"", ""Enoph1"", ""Ampd2"")"
int,1553,C5,GO:BP,15653,1379,GOBP_POSITIVE_REGULATION_OF_ISOTYPE_SWITCHING,GO:0045830,28,7,0.25,0.009215945096542071,0.15226638699948555,0.13973712418054118,"c(""Kmt5c"", ""Shld1"", ""Nsd2"", ""Tfrc"", ""Atad5"", ""Exosc3"", ""Rif1"")"
int,1553,C5,GO:BP,15653,1379,GOBP_LEUKOCYTE_MIGRATION,GO:0050900,367,46,0.12534059945504086,0.009361610833799466,0.15410651680254506,0.14142583862281208,"c(""Itgal"", ""Trpv4"", ""Thy1"", ""Icam1"", ""Jaml"", ""Myd88"", ""Mdk"", ""Cxcl16"", ""Gpr183"", ""Dusp1"", ""Ptk2b"", ""Zap70"", ""Trpm4"", ""Pde4b"", ""Il6ra"", ""Ripor2"", ""Pecam1"", ""Prex1"", ""Rac2"", ""Rhoh"", ""P2rx4"", ""Tnfrsf14"", ""S1pr1"", ""Dpp4"", ""Adgre5"", ""Gata3"", ""Rin3"", ""Kit"", ""F11r"", ""Hmgb1"", ""Itgb1"", ""Ptger4"", ""C1qbp"", ""Tnfsf14"", ""Ccl4"", ""Stk39"", ""Tnfrsf18"", ""Vav3"", ""Ccl3"", ""Cd200"", ""Jagn1"", ""Oxsr1"", ""St3gal4"", ""Serpine1"", ""Cxcr3"", ""Akt1"")"
