row,row_within_cluster,cluster
Exosc5,1,cluster1
Prss36,2,cluster1
Rpp40,3,cluster1
Tmem209,4,cluster1
Gtf2h3,5,cluster1
Dglucy,6,cluster1
Exoc4,7,cluster1
Focad,8,cluster1
Hlcs,9,cluster1
Pycr2,10,cluster1
Tfap4,11,cluster1
Fto,12,cluster1
Mrps35,13,cluster1
Ak3,14,cluster1
Nsun3,15,cluster1
Etfrf1,16,cluster1
Tmem42,17,cluster1
Ndufb4,18,cluster1
Ubxn2b,19,cluster1
Cdc123,20,cluster1
Tmem131l,21,cluster1
4933430I17Rik,22,cluster1
Irag2,23,cluster1
Pafah2,24,cluster1
Cfap300,25,cluster1
Padi3,26,cluster1
5730480H06Rik,27,cluster1
Rnf151,28,cluster1
Gm17545,29,cluster1
Gm10033,30,cluster1
Rab40b,31,cluster1
Tmem169,32,cluster1
Stub1,33,cluster1
4932438H23Rik,34,cluster1
Pou5f2,35,cluster1
ENSMUSG00000095250,36,cluster1
Gm17606,37,cluster1
Pde1b,38,cluster1
Bad,39,cluster1
Asb16,1,cluster2
Eva1c,2,cluster2
Zfp965,3,cluster2
Apol7b,4,cluster2
Svip,5,cluster2
Slc15a1,6,cluster2
H2-DMb1,7,cluster2
Prkar1b,8,cluster2
Dap3,9,cluster2
Sowahc,10,cluster2
Faf1,11,cluster2
R3hdm2,12,cluster2
Nsmaf,13,cluster2
Fra10ac1,14,cluster2
Zfp398,15,cluster2
Ldhd,16,cluster2
Gcnt1,17,cluster2
Tctn3,18,cluster2
Snx2,19,cluster2
Tmem231,20,cluster2
Adi1,21,cluster2
Plpp6,22,cluster2
Ccdc184,23,cluster2
Car11,24,cluster2
Mid1,25,cluster2
Ankrd35,26,cluster2
D630045J12Rik,27,cluster2
Cpne7,28,cluster2
Hdc,29,cluster2
Slc2a1,30,cluster2
Noa1,1,cluster3
Rpp38,2,cluster3
Mars1,3,cluster3
Atxn10,4,cluster3
Zmat3,5,cluster3
Nudcd2,6,cluster3
Ei24,7,cluster3
Cops7a,8,cluster3
Tomm5,9,cluster3
Brf2,10,cluster3
Timm21,11,cluster3
Wdr73,12,cluster3
Exosc4,13,cluster3
Rfx8,14,cluster3
Gm49339,15,cluster3
Extl2,16,cluster3
Zfp930,17,cluster3
Alox5ap,18,cluster3
Sh2b3,19,cluster3
Hmgn3,20,cluster3
Camkv,21,cluster3
Fign,22,cluster3
Olfr1178,23,cluster3
Calcr,24,cluster3
Cdh20,25,cluster3
Zcchc17,26,cluster3
Tm4sf5,27,cluster3
Prelid3a,28,cluster3
Nrcam,29,cluster3
Vmn2r26,30,cluster3
Ctc1,31,cluster3
Aldoa,32,cluster3
Lrrtm1,33,cluster3
Epha4,34,cluster3
Trpm3,35,cluster3
Semp2l1,36,cluster3
Gm10800,37,cluster3
Gm10801,38,cluster3
H3c10,1,cluster4
Gm14288,2,cluster4
Gm7030,3,cluster4
Foxj1,4,cluster4
Tst,5,cluster4
Pla1a,6,cluster4
Mgat4e,7,cluster4
Setd1a,8,cluster4
Rtl5,9,cluster4
Wdr31,10,cluster4
1700019A02Rik,11,cluster4
Cyp46a1,12,cluster4
Agbl1,13,cluster4
Gbp3,14,cluster4
Gbp4,15,cluster4
Gbp7,16,cluster4
Tap2,17,cluster4
Kbtbd11,18,cluster4
Erfe,19,cluster4
Vpreb3,20,cluster4
Cfap73,21,cluster4
4930556J24Rik,22,cluster4
Foxc1,23,cluster4
Lix1,24,cluster4
Armh2,25,cluster4
Dnttip1,1,cluster5
Fam177a,2,cluster5
Zc3hav1,3,cluster5
Rnf125,4,cluster5
Mef2d,5,cluster5
Rell1,6,cluster5
Wasf2,7,cluster5
Stat5b,8,cluster5
Atg2a,9,cluster5
Fam76a,10,cluster5
Pak1,11,cluster5
Flii,12,cluster5
Rhog,13,cluster5
Slk,14,cluster5
Aff1,15,cluster5
Crebbp,16,cluster5
Ski,17,cluster5
Cdt1,18,cluster5
Zfp592,19,cluster5
Ubn1,20,cluster5
Brpf1,21,cluster5
Pafah1b1,22,cluster5
Sfr1,23,cluster5
Zfp821,24,cluster5
Nin,25,cluster5
Kdm4b,26,cluster5
Abl1,27,cluster5
Arid5a,28,cluster5
Arpc3,29,cluster5
Sf1,30,cluster5
Clk3,31,cluster5
Nxnl2,32,cluster5
Eipr1,33,cluster5
Elavl1,34,cluster5
Hps4,35,cluster5
Dedd,36,cluster5
Slc25a36,37,cluster5
Fam183b,38,cluster5
Gna12,39,cluster5
Snx25,40,cluster5
Icam1,41,cluster5
Tex2,42,cluster5
Btbd9,43,cluster5
Tjap1,44,cluster5
Jmy,45,cluster5
Vps37b,46,cluster5
Lrrc63,47,cluster5
Khdrbs3,48,cluster5
Erf,49,cluster5
Bap1,50,cluster5
Srebf2,51,cluster5
Gfus,52,cluster5
Nubp2,53,cluster5
Fancd2os,54,cluster5
Cnr1,55,cluster5
Klrb1c,56,cluster5
Gpr155,57,cluster5
Sulf2,1,cluster6
Tsc1,2,cluster6
Mitf,3,cluster6
Pkhd1l1,4,cluster6
Oscar,5,cluster6
Kat6b,6,cluster6
Txk,7,cluster6
C2cd2l,8,cluster6
Fmnl1,9,cluster6
Vps11,10,cluster6
Epc2,11,cluster6
Rsrc2,12,cluster6
Nrbp1,13,cluster6
Dusp10,14,cluster6
Ezr,15,cluster6
Tarbp2,16,cluster6
Rbm42,17,cluster6
Syce1l,18,cluster6
Kcnk7,19,cluster6
Smim6,20,cluster6
Slc4a4,21,cluster6
Pygm,22,cluster6
4930503L19Rik,23,cluster6
Inpp5b,24,cluster6
Tlr7,25,cluster6
Sema4a,26,cluster6
Itpr1,27,cluster6
Zyx,28,cluster6
Plekho2,29,cluster6
Arpc5l,30,cluster6
Rpl29,31,cluster6
Rpl35a,32,cluster6
Rpl12,33,cluster6
Rps19,34,cluster6
Rps24,35,cluster6
Eef2,36,cluster6
